LISTA DE PRECIOS 2026,,,,,,,,,,,,,,,,,,,,
 Vigencia a partir de febrero ,,,,,,,,,,,,,,,,,,,,
,3 VECES POR SEMANA," $7,200 ",MES, 600.00 ,68%,," $6,480 ",MES, 540.00 ,68%,," $5,830 ",MES, 485.83 ,67%,,,,,
,,,,,,,,,,,,,,,,,,,,
,ESTIMULACIÓN MAGNETICA TRANSCRANEAL,,,,,,,,,,,,,,,,PARA 2026 SE MANTIENEN PRECIOS DE 2025,,,
,TRATAMIENTO 20 SESIONES," $34,800 ",MES,,,,,,,,,,,,,,,,,
,LISTA DE PRECIOS 2026,,,,,,,,,,,,,,,,,,,
, Vigencia a partir de febrero ,,,,,,,,,,,,,,,,,,,
,PSICOLOGÍA,,,,,,,,,,,,,,,,,,,
,,"HORARIOS ""A""",,,,,"HORARIOS ""B""",,,,,"HORARIOS ""C""",,,,,"""Con base en la cartera vigente a enero de 2026 y la frecuencia de servicio por cliente , se ha implementado un ajuste para aplicar un porcentaje de descuento en el margen de todas las áreas, para mantener homolgados la aplicación de precios por frecuencia y horario de 2 a 3vxs",,,
,,  12-1-4-5-6-7 PM,,,,,     2-3 PM,,,,,8-9-10-11  AM   7 PM,,,,,,,,
,PSICOLOGÍA,,,,,,,,,,,,,,,,,,,
,1 VEZ POR SEMANA," $2,825 ",MES, 706.25 ,,," $2,543 ",MES, 635.63 ,,," $2,288 ",MES, 572.06 ,,,,,,
,2 VECES POR SEMANA," $4,240 ",MES, 530.00 ,75%,," $3,815 ",MES, 476.88 ,75%,," $3,435 ",MES, 429.38 ,75%,,,,,
,3 VECES POR SEMANA," $5,760 ",MES, 480.00 ,68%,," $5,185 ",MES, 432.08 ,68%,," $4,665 ",MES, 388.75 ,68%,,,,,
,,,,,,,,,,,,,,,,,,,,
,MOTRICIDAD,,,,,,,,,,,,,,,,,,,
,,"HORARIOS ""A""",,,,,"HORARIOS ""B""",,,,,"HORARIOS ""C""",,,,,,,,
,,10-11 AM   12-4-5-6 PM,,,,,9 AM     1-2-3 PM,,,,,8 AM   7 PM,,,,,"""Con base en la cartera vigente a enero de 2026 y la frecuencia de servicio por cliente , se ha implementado un ajuste para aplicar un porcentaje de descuento en el margen de todas las áreas, para mantener homolgados la aplicación de precios por frecuencia y horario de 2 a 3vxs",,,
,NEURODESARROLLO Y CEMS,,,,,,,,,,,,,,,,,,,
,1 VEZ POR SEMANA," $3,145 ",MES, 786.25 ,,," $2,830 ",MES, 707.50 ,,," $2,545 ",MES, 636.25 ,,,,,,
,2 VECES POR SEMANA," $4,720 ",MES, 590.00 ,75%,," $4,250 ",MES, 531.25 ,75%,," $3,825 ",MES, 478.13 ,75%,,,,,
,3 VECES POR SEMANA," $6,420 ",MES, 535.00 ,68%,," $5,775 ",MES, 481.25 ,68%,," $5,200 ",MES, 433.33 ,68%,,,,,
,,,,,,,,,,,,,,,,,,,,
,FISIOTERAPIA,,,,,,,,,,,,,,,,,,,
,INSTALACIONES, $525 ,SESIÓN,,,,,,,,,,,,,,,,,
,DOMICILIO, $935 ,SESIÓN,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,"HORARIOS ""A""",,,,,"HORARIOS ""B""",,,,,"HORARIOS ""C""",,,,,,,,
,,10-11 AM   12-4-5-6 PM,,,,,9 AM     1-2-3 PM,,,,,08:00 a. m.,,,,,,,,
,PSICOMOTRICIDAD RECREATIVA,,,,,,,,,,,,,,,,,,,
,1 VEZ POR SEMANA," $1,815 ",MES, 453.75 ,,," $1,630 ",MES, 407.50 ,,," $1,465 ",MES, 366.25 ,,,,,,
,2 VECES POR SEMANA," $3,520 ",MES, 440.00 ,97%,," $3,168 ",MES, 396.00 ,97%,," $2,850 ",MES, 356.25 ,97%,,"""Con base en la cartera vigente a enero de 2026 y la frecuencia de servicio por cliente , se ha implementado un ajuste para aplicar un porcentaje de descuento en el margen de todas las áreas, para mantener homolgados la aplicación de precios por frecuencia y horario de 2 a 3vxs",,,
,3 VECES POR SEMANA," $4,920 ",MES, 410.00 ,90%,," $4,428 ",MES, 369.00 ,91%,," $3,985 ",MES, 332.10 ,91%,,,,,
